window_id,conversation_id,video_name,start_sec,end_sec,trigger_id,trigger_timestamp,recommendation_mode,recommendation_1,recommendation_2,urgency,rationale,annotation_status
vid_045__day_1__con_4__person_1_part3__0180_0240,day_1__con_4__part3,vid_045__day_1__con_4__person_1_part3,180,240,t2,203.00,both,Clarify instructions by breaking them into simpler steps when asking others to walk and talk.,Know that complex multitasking instructions can confuse participants and reduce natural conversation.,medium,"At 03:23, P1 gives a multi-part instruction that may be hard to follow, potentially impacting the natural flow of conversation and data collection.",proposed_by_ai
vid_045__day_1__con_4__person_1_part3__0240_0300,day_1__con_4__part3,vid_045__day_1__con_4__person_1_part3,240,300,t1,253.00,say,"Confirm your understanding by saying, 'So you like tortellini because it has cheese, right?'","Encourage elaboration by asking, 'What do you like most about stuffed pasta like manicotti or ravioli?'",medium,"At 04:13, P1 attempts to clarify P3's preference but could improve engagement by confirming and prompting more detail.",proposed_by_ai
vid_045__day_1__con_4__person_1_part3__0240_0300,day_1__con_4__part3,vid_045__day_1__con_4__person_1_part3,240,300,t2,298.00,say,"Repeat or rephrase your question to regain attention, e.g., 'Sorry, I lost you—what was your favorite food again?'","Acknowledge possible distraction by saying, 'Looks like we got a bit off track, can you tell me more about your favorite foods?'",medium,"At 04:58, P1 says 'I asked you what' but the question is unclear and the conversation is disjointed; a clearer follow-up would improve flow.",proposed_by_ai
vid_046__day_1__con_4__person_1_part4__0000_0060,day_1__con_4__part4,vid_046__day_1__con_4__person_1_part4,0,60,t1,11.97,say,Ask P2 what specific toppings or ingredients they like on their burgers.,Invite P2 to share a memorable burger experience or favorite burger place.,medium,P1 acknowledges burgers but does not deepen the conversation; a follow-up would enhance engagement and show interest.,proposed_by_ai
vid_046__day_1__con_4__person_1_part4__0000_0060,day_1__con_4__part4,vid_046__day_1__con_4__person_1_part4,0,60,t2,24.68,both,Ask P2 if they have a favorite spaghetti recipe or ingredient combination.,"Know that spaghetti can be versatile and can be turned into chili or soup, as mentioned, to connect with others' food experiences.",medium,P1 shares a detailed spaghetti idea but could engage others by inviting their input or demonstrating awareness of food versatility.,proposed_by_ai
vid_046__day_1__con_4__person_1_part4__0060_0120,day_1__con_4__part4,vid_046__day_1__con_4__person_1_part4,60,120,t1,73.00,both,Clarify that carrots are not fruits but root vegetables to correct the misconception.,"Know that fruits are typically defined botanically as seed-bearing structures from flowering plants, while carrots are roots.",medium,"P1 incorrectly agrees or hesitates about carrots being fruits, which could confuse the group; a timely correction would improve clarity.",proposed_by_ai
vid_046__day_1__con_4__person_1_part4__0060_0120,day_1__con_4__part4,vid_046__day_1__con_4__person_1_part4,60,120,t2,79.00,say,Provide a brief explanation that peppers are fruits because they contain seeds and develop from the ovary of a flower.,Suggest looking up botanical definitions together to resolve confusion.,medium,P1 is uncertain about peppers being fruits; a clear explanation would enhance the group's understanding and engagement.,proposed_by_ai
vid_046__day_1__con_4__person_1_part4__0120_0180,day_1__con_4__part4,vid_046__day_1__con_4__person_1_part4,120,180,t1,163.29,both,Say: 'I see it more as fulfilling and rewarding rather than work. What part of that sounds most appealing to you?',Know: Recognize that P3 perceives the perfect day as demanding; reframing it as enjoyable can improve engagement.,medium,P1's brief 'Not work' reply misses an opportunity to reframe P2's ideal day positively and invite P3's deeper engagement.,proposed_by_ai
vid_046__day_1__con_4__person_1_part4__0180_0240,day_1__con_4__part4,vid_046__day_1__con_4__person_1_part4,180,240,t1,184.42,say,Acknowledge and expand on the importance of sleep as an accomplishment to deepen the conversation.,Ask P2 or P3 how they personally balance sleep and work to invite more sharing.,medium,"At 03:04.42, P1 states 'Sleep is that's an accomplishment on its own' but does not elaborate or engage others to share their views, missing an opportunity to deepen connection.",proposed_by_ai
vid_046__day_1__con_4__person_1_part4__0180_0240,day_1__con_4__part4,vid_046__day_1__con_4__person_1_part4,180,240,t2,234.14,both,Clarify or summarize P2's point about balancing relaxation and work to confirm understanding.,Know that reflecting and paraphrasing others' points can strengthen rapport and keep the conversation flowing.,low,"At 03:54.14, P2 tries to add ideas but the conversation trails off; a clearer follow-up or paraphrase by P1 would improve clarity and engagement.",proposed_by_ai
